period,metric,value,unit,status,source
2021,shopee_gmv,62.5,USD billion,issuer_apm,Sea-FY2021-Results.pdf
2021,shopee_orders,6.1,billion orders,issuer_apm,Sea-FY2021-Results.pdf
2021,shopee_adjusted_ebitda,-2.6,USD billion,issuer_apm,Sea-FY2021-Results.pdf
2021,garena_bookings,4.6,USD billion,issuer_apm,Sea-FY2021-Results.pdf
2021,garena_adjusted_ebitda,2.8,USD billion,issuer_apm,Sea-FY2021-Results.pdf
2021,monee_adjusted_ebitda,-0.617,USD billion,issuer_apm,Sea-FY2021-Results.pdf
2022,shopee_gmv,73.5,USD billion,issuer_apm,Sea-FY2022-Results.pdf
2022,shopee_orders,7.6,billion orders,issuer_apm,Sea-FY2022-Results.pdf
2022,shopee_adjusted_ebitda,-1.7,USD billion,issuer_apm,Sea-FY2022-Results.pdf
2022,garena_bookings,2.8,USD billion,issuer_apm,Sea-FY2022-Results.pdf
2022,garena_adjusted_ebitda,1.3,USD billion,issuer_apm,Sea-FY2022-Results.pdf
2022,monee_adjusted_ebitda,-0.229,USD billion,issuer_apm,Sea-FY2022-Results.pdf
2023,shopee_gmv,78.5,USD billion,issuer_apm,Sea-FY2023-Results.pdf
2023,shopee_orders,8.2,billion orders,issuer_apm,Sea-FY2023-Results.pdf
2023,shopee_adjusted_ebitda,-0.214,USD billion,issuer_apm,Sea-FY2023-Results.pdf
2023,garena_bookings,1.8,USD billion,issuer_apm,Sea-FY2023-Results.pdf
2023,garena_adjusted_ebitda,0.921,USD billion,issuer_apm,Sea-FY2023-Results.pdf
2023,monee_adjusted_ebitda,0.55,USD billion,issuer_apm,Sea-FY2023-Results.pdf
2024,shopee_gmv,100.5,USD billion,issuer_apm,Sea-FY2024-Results.pdf
2024,shopee_orders,10.9,billion orders,issuer_apm,Sea-FY2024-Results.pdf
2024,shopee_adjusted_ebitda,0.156,USD billion,issuer_apm,Sea-FY2024-Results.pdf
2024,garena_bookings,2.1,USD billion,issuer_apm,Sea-FY2024-Results.pdf
2024,garena_adjusted_ebitda,1.199,USD billion,issuer_apm,Sea-FY2024-Results.pdf
2024,monee_adjusted_ebitda,0.712,USD billion,issuer_apm,Sea-FY2024-Results.pdf
2024,monee_loans,5.1,USD billion,issuer_apm,Sea-FY2024-Results.pdf
2024,monee_npl90,1.2,percent,issuer_apm,Sea-FY2024-Results.pdf
2025,shopee_gmv,127.4,USD billion,issuer_apm,Sea-FY2025-Results.pdf
2025,shopee_orders,13.9,billion orders,issuer_apm,Sea-FY2025-Results.pdf
2025,shopee_adjusted_ebitda,0.881,USD billion,issuer_apm,Sea-FY2025-Results.pdf
2025,garena_bookings,2.9,USD billion,issuer_apm,Sea-FY2025-Results.pdf
2025,garena_adjusted_ebitda,1.656,USD billion,issuer_apm,Sea-FY2025-Results.pdf
2025,monee_adjusted_ebitda,1.018,USD billion,issuer_apm,Sea-FY2025-Results.pdf
2025,monee_loans,9.2,USD billion,issuer_apm,Sea-FY2025-Results.pdf
2025,monee_npl90,1.1,percent,issuer_apm,Sea-FY2025-Results.pdf
