rank,company_name_official,ticker,voting_rights_pct,jpx_market,jpx_sector,business_summary,market_cap_jpy_bn_snapshot_2026-08-14,implied_stake_value_jpy_bn_screening,listing_status_2026-08-14,primary_source,market_data_source,verification_note
1,"BENEFIT JAPAN Co.,LTD.",3934,43.0,Standard,Information & Communication,"MVNO, mobile Wi-Fi, devices and communications services",13.95,6.00,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/3934/market-cap/","Voting rights from Hikari FY2026 disclosure; market and sector from JPX July 2026 list"
2,"SHINANEN HOLDINGS CO.,LTD. (formerly SINANEN HOLDINGS)",8132,42.8,Prime,Wholesale Trade,"Energy wholesale and retail, LP gas, maintenance and mobility services",82.98,35.52,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/8132/market-cap/","Issuer renamed in June 2026; voting rights from Hikari FY2026 disclosure"
3,"INEST,Inc.",7111,40.8,Standard,Wholesale Trade,"Sales platform for telecom, utilities and office services",3.50,1.43,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/7111/market-cap/","Verified against JPX July 2026 list"
4,"Kusurinomadoguchi,Inc.",5592,40.7,Growth,Information & Communication,"Pharmacy search and reservation media plus pharmacy support systems",28.68,11.67,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/5592/market-cap/","Verified against JPX July 2026 list"
5,"MS&Consulting Co.,Ltd.",6555,37.4,Standard,Services,"Mystery shopping, customer satisfaction and employee engagement consulting",1.88,0.70,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/6555/market-cap/","Verified against JPX July 2026 list"
6,"Last One Mile Co.,Ltd.",9252,36.5,Growth,Services,"Moving-related utilities and broadband concierge and contact-center services",10.36,3.78,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/9252/market-cap/","Verified against JPX July 2026 list"
7,"Bell-Park Co.,Ltd.",9441,36.1,Standard,Information & Communication,"Mobile carrier shop operator and handset retailer",35.08,12.66,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/9441/market-cap/","Verified against JPX July 2026 list"
8,"MTI Ltd.",9438,34.9,Prime,Information & Communication,"Mobile content, healthcare and fintech digital services",32.27,11.26,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/9438/market-cap/","Verified against JPX July 2026 list"
9,"TOUMEI CO.,LTD.",4439,34.8,Standard,Information & Communication,"SME optical-line, electricity and office solutions",23.12,8.05,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/4439/market-cap/","Verified against JPX July 2026 list"
10,"SUNNEXTA GROUP Inc.",8945,31.9,Standard,Real Estate,"Corporate housing administration and senior-support services",10.17,3.24,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/8945/market-cap/","Verified against JPX July 2026 list"
11,"ULURU.CO.,LTD.",3979,31.9,Growth,Information & Communication,"Crowdsourcing and workflow SaaS including public-procurement information",11.47,3.66,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/3979/market-cap/","Verified against JPX July 2026 list"
12,"DVx Inc.",3079,29.8,Standard,Wholesale Trade,"Distributor of cardiovascular and other medical devices",9.92,2.96,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/3079/market-cap/","Verified against JPX July 2026 list"
13,"DAIICHI JITSUGYO CO.,LTD.",8059,29.4,Prime,Wholesale Trade,"Industrial machinery trading, project development and engineering",111.32,32.73,Listed,"https://www.hikari.co.jp/net_investment/","https://stockanalysis.com/quote/tyo/8059/market-cap/","Issuer says Hikari group held 29.46% of voting rights at 2026-03-31"
