period,metric,value,unit,formula,status,applicability,applicability_note,source
2023,incremental_gross_margin_pct,105.62,percent,change in gross profit / change in revenue,analyst_calculated,not meaningful,2023 is not meaningful because the revenue increment was small and the cost base was reset,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2023,incremental_operating_margin_pct,278.94,percent,change in operating profit / change in revenue,analyst_calculated,not meaningful,2023 is not meaningful because the revenue increment was small and the cost base was reset,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2023,sbc_pct_revenue,5.24,percent,share-based compensation / revenue,analyst_calculated,applicable with stated limitation,non-cash expense remains an economic dilution cost,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2023,diluted_basic_share_gap_pct,4.91,percent,diluted weighted-average shares / basic weighted-average shares - 1,analyst_calculated,applicable with stated limitation,potential dilution proxy; not a forecast issuance rate,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2023,shopee_gmv_per_order_usd,9.57,USD per order,GMV / orders,analyst_calculated,applicable with stated limitation,market and category mix affect comparability,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2023,shopee_service_monetization_pct,10.0,percent,e-commerce service revenue / GMV,issuer_disclosed,applicable with stated limitation,mixed service monetization proxy; not a commission take rate,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2023,shopee_segment_profit_pct_gmv,-0.7,percent,statutory segment profit / GMV,analyst_calculated,applicable with stated limitation,segment revenue includes sales of goods and GMV is an issuer APM,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2023,shopee_adjusted_ebitda_pct_gmv,-0.27,percent,issuer-adjusted EBITDA / GMV,analyst_calculated_from_issuer_apm,applicable with stated limitation,not a US GAAP margin,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2023,monee_allowance_pct_gross_loans,11.46,percent,allowance / (net loans + allowance),analyst_calculated,applicable with stated limitation,gross-loan proxy differs from consumer/SME principal,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2023,monee_provision_pct_average_gross_loans,24.76,percent,provision / average(net loans + allowance),analyst_calculated,applicable with stated limitation,high-turnover short-duration loans make this unlike an NPL ratio,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2023,monee_writeoffs_pct_average_gross_loans,not calculable,percent,gross write-offs / average(net loans + allowance),analyst_calculated,not calculable,2023 comparable gross write-offs not included,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2023,monee_deposits_pct_net_loans,68.66,percent,deposits payable / net loans,analyst_calculated,applicable with stated limitation,not a regulatory funding or liquidity ratio,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2023,monee_revenue_pct_average_gross_loans_proxy,68.71,percent,Monee revenue / average(net loans + allowance),analyst_calculated,applicable with stated limitation,mixed monetization proxy; must not be called NIM or loan yield,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2023,garena_paying_ratio_pct,7.63,percent,average QPU / average QAU,analyst_calculated,applicable with stated limitation,account counts may duplicate across games or markets,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2023,garena_bookings_per_qpu_usd_account_proxy,44.78,USD per average quarterly paying account,annual bookings / average QPU,analyst_calculated,applicable with stated limitation,not cohort ARPPU; denominator is an average quarterly account metric,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2023,garena_adjusted_ebitda_pct_bookings,50.9,percent,adjusted EBITDA / bookings,issuer_disclosed,applicable with stated limitation,issuer APM definition changes from 2026Q3,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2024,incremental_gross_margin_pct,36.51,percent,change in gross profit / change in revenue,analyst_calculated,applicable with stated limitation,2023 is not meaningful because the revenue increment was small and the cost base was reset,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2024,incremental_operating_margin_pct,11.64,percent,change in operating profit / change in revenue,analyst_calculated,applicable with stated limitation,2023 is not meaningful because the revenue increment was small and the cost base was reset,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2024,sbc_pct_revenue,4.26,percent,share-based compensation / revenue,analyst_calculated,applicable with stated limitation,non-cash expense remains an economic dilution cost,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2024,diluted_basic_share_gap_pct,5.17,percent,diluted weighted-average shares / basic weighted-average shares - 1,analyst_calculated,applicable with stated limitation,potential dilution proxy; not a forecast issuance rate,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2024,shopee_gmv_per_order_usd,9.22,USD per order,GMV / orders,analyst_calculated,applicable with stated limitation,market and category mix affect comparability,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2024,shopee_service_monetization_pct,10.8,percent,e-commerce service revenue / GMV,issuer_disclosed,applicable with stated limitation,mixed service monetization proxy; not a commission take rate,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2024,shopee_segment_profit_pct_gmv,-0.14,percent,statutory segment profit / GMV,analyst_calculated,applicable with stated limitation,segment revenue includes sales of goods and GMV is an issuer APM,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2024,shopee_adjusted_ebitda_pct_gmv,0.16,percent,issuer-adjusted EBITDA / GMV,analyst_calculated_from_issuer_apm,applicable with stated limitation,not a US GAAP margin,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2024,monee_allowance_pct_gross_loans,9.75,percent,allowance / (net loans + allowance),analyst_calculated,applicable with stated limitation,gross-loan proxy differs from consumer/SME principal,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2024,monee_provision_pct_average_gross_loans,20.95,percent,provision / average(net loans + allowance),analyst_calculated,applicable with stated limitation,high-turnover short-duration loans make this unlike an NPL ratio,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2024,monee_writeoffs_pct_average_gross_loans,16.56,percent,gross write-offs / average(net loans + allowance),analyst_calculated,applicable with stated limitation,2023 comparable gross write-offs not included,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2024,monee_deposits_pct_net_loans,65.17,percent,deposits payable / net loans,analyst_calculated,applicable with stated limitation,not a regulatory funding or liquidity ratio,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2024,monee_revenue_pct_average_gross_loans_proxy,63.85,percent,Monee revenue / average(net loans + allowance),analyst_calculated,applicable with stated limitation,mixed monetization proxy; must not be called NIM or loan yield,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2024,garena_paying_ratio_pct,8.12,percent,average QPU / average QAU,analyst_calculated,applicable with stated limitation,account counts may duplicate across games or markets,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2024,garena_bookings_per_qpu_usd_account_proxy,41.58,USD per average quarterly paying account,annual bookings / average QPU,analyst_calculated,applicable with stated limitation,not cohort ARPPU; denominator is an average quarterly account metric,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2024,garena_adjusted_ebitda_pct_bookings,55.8,percent,adjusted EBITDA / bookings,issuer_disclosed,applicable with stated limitation,issuer APM definition changes from 2026Q3,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2025,incremental_gross_margin_pct,49.66,percent,change in gross profit / change in revenue,analyst_calculated,applicable with stated limitation,2023 is not meaningful because the revenue increment was small and the cost base was reset,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2025,incremental_operating_margin_pct,21.63,percent,change in operating profit / change in revenue,analyst_calculated,applicable with stated limitation,2023 is not meaningful because the revenue increment was small and the cost base was reset,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2025,sbc_pct_revenue,2.72,percent,share-based compensation / revenue,analyst_calculated,applicable with stated limitation,non-cash expense remains an economic dilution cost,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2025,diluted_basic_share_gap_pct,7.26,percent,diluted weighted-average shares / basic weighted-average shares - 1,analyst_calculated,applicable with stated limitation,potential dilution proxy; not a forecast issuance rate,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2025,shopee_gmv_per_order_usd,9.17,USD per order,GMV / orders,analyst_calculated,applicable with stated limitation,market and category mix affect comparability,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2025,shopee_service_monetization_pct,11.4,percent,e-commerce service revenue / GMV,issuer_disclosed,applicable with stated limitation,mixed service monetization proxy; not a commission take rate,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2025,shopee_segment_profit_pct_gmv,0.46,percent,statutory segment profit / GMV,analyst_calculated,applicable with stated limitation,segment revenue includes sales of goods and GMV is an issuer APM,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2025,shopee_adjusted_ebitda_pct_gmv,0.69,percent,issuer-adjusted EBITDA / GMV,analyst_calculated_from_issuer_apm,applicable with stated limitation,not a US GAAP margin,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2025,monee_allowance_pct_gross_loans,9.56,percent,allowance / (net loans + allowance),analyst_calculated,applicable with stated limitation,gross-loan proxy differs from consumer/SME principal,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2025,monee_provision_pct_average_gross_loans,20.46,percent,provision / average(net loans + allowance),analyst_calculated,applicable with stated limitation,high-turnover short-duration loans make this unlike an NPL ratio,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2025,monee_writeoffs_pct_average_gross_loans,14.8,percent,gross write-offs / average(net loans + allowance),analyst_calculated,applicable with stated limitation,2023 comparable gross write-offs not included,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2025,monee_deposits_pct_net_loans,47.69,percent,deposits payable / net loans,analyst_calculated,applicable with stated limitation,not a regulatory funding or liquidity ratio,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2025,monee_revenue_pct_average_gross_loans_proxy,56.52,percent,Monee revenue / average(net loans + allowance),analyst_calculated,applicable with stated limitation,mixed monetization proxy; must not be called NIM or loan yield,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2025,garena_paying_ratio_pct,9.52,percent,average QPU / average QAU,analyst_calculated,applicable with stated limitation,account counts may duplicate across games or markets,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
2025,garena_bookings_per_qpu_usd_account_proxy,46.33,USD per average quarterly paying account,annual bookings / average QPU,analyst_calculated,applicable with stated limitation,not cohort ARPPU; denominator is an average quarterly account metric,FY2025 20-F F-11 to F-15 and F-73 to F-75; annual Results for issuer APMs
