as_of,reporting_segment,business_unit,product_line,offering,status,infrastructure_or_delivery,applications,customer_types,key_metrics,revenue_model,pricing_cost_disclosure,verification_status,source_url
2026-08-04,Towers,Telecom Infrastructure Services,Site sharing,Macro-tower co-location,core,"shared passive tower; customer supplies active radio equipment","macro coverage; 4G and 5G deployment; network densification",MNOs,"H1 2026 Tower revenue EUR1.625bn; tenancy ratio 1.63x","annual base fee plus escalator and additional tenant fees under MSA or MLA","contract-specific; no public unit price or margin",official annual report and results,https://www.cellnex.com/news/cellnex-h1-2026-results/
2026-08-04,Towers,Telecom Infrastructure Services,Site sharing,Rooftop co-location,core,"shared rooftop telecom site","dense urban coverage and capacity",MNOs,"more than 40% of company sites described as urban","long-term site access and service fee; additional colocation fees","contract-specific; no public unit price",official product page,https://www.cellnex.com/technology/tis/
2026-08-04,Towers,Telecom Infrastructure Services,Site sharing,Special and high-tower sites,core,"high towers and special locations prepared for multiple antenna levels","rural coverage; broadcast; mobile internet",MNOs; broadcasters; other operators,"country site figures disclosed; exact in-service perimeter requires reconciliation","long-term infrastructure access fee","contract-specific; no public unit price",official product page; company-reported footprint,https://www.cellnex.com/technology/tis/
2026-08-04,Towers,Telecom Infrastructure Services,Network expansion,Build-to-Suit sites,core growth,"new tower or rooftop constructed for an anchor customer with later co-location potential","coverage expansion; 4G and 5G rollout; network resilience",MNOs,"Sunrise extension: 300 sites from 2027 over five years","long-term anchor contract plus possible later tenant fees","project IRR and contract economics not disclosed",official results; contract terms partly disclosed,https://www.cellnex.com/news/cellnex-h1-2026-results/
2026-08-04,Towers,Telecom Infrastructure Services,Network expansion,Build-to-Fit and flexible deployments,commercial offering,"site adaptation and scalable infrastructure tailored to customer equipment","network expansion and equipment upgrades",MNOs,"not disclosed","project or long-term service arrangement","not disclosed",official product page; commercial scale not disclosed,https://www.cellnex.com/technology/tis/
2026-08-04,Towers,Telecom Infrastructure Services,Engineering,Works studies and installation services,adjacent service,"site adaptation engineering design installation and commissioning","site upgrades; 5G configuration changes; new tenant onboarding",MNOs; other operators,"FY2025 engineering revenue embedded in country Tower disclosures","separate performance obligation and income stream; sometimes capex recovery","standard rates and margins not disclosed",official annual report,https://www.cellnex.com/app/uploads/2026/03/Informe-Anual-Integrado-2025_EN_Optimized.pdf
2026-08-04,Towers,Telecom Infrastructure Services,Network rationalisation,Decommissioning and consolidation,core service,"dismantling duplicate sites and moving equipment to shared infrastructure","post-merger network optimisation; operating-cost reduction",MNOs,"not disclosed","negotiated under customer service agreements; advances may be amortised","site-level economics not disclosed",official annual report,https://www.cellnex.com/app/uploads/2026/03/Informe-Anual-Integrado-2025_EN_Optimized.pdf
2026-08-04,Towers,Telecom Infrastructure Services,Site operations,24x7 NOC monitoring and maintenance,core support,"real-time monitoring of energy security alarms active-equipment availability beacons and fire detection","service assurance and incident response",MNOs; broadcasters; infrastructure customers,"24x7 monitoring; KPI and SLA based","included in infrastructure or managed-service contract","SLA penalties and service pricing not disclosed",official product page,https://www.cellnex.com/technology/broadcast/
2026-08-04,Towers,Telecom Infrastructure Services,Energy resilience,Battery backup and site resilience,adjacent growth,"backup batteries and energy systems installed at host sites","communications continuity and regulatory resilience",MNOs,"Telefonica programme expected to cover up to 3800 sites with at least two hours autonomy","contract term aligned with host-site contracts","capex amount and customer fee not disclosed",official company results; delivery claim,https://www.cellnex.com/news/cellnex-h1-2026-results/
2026-08-04,Towers,Telecom Infrastructure Services,Site marketplace,Ready to Connect,digital commercial channel,"digital catalogue and qualification workflow for available sites","faster site selection and deployment planning",MNOs; other infrastructure customers,"not disclosed","supports underlying site access and service contracts","platform pricing not disclosed",official product page; commercial impact not disclosed,https://www.cellnex.com/ready-to-connect/
2026-08-04,"DAS, Small Cells and RAN as a Service",Indoor connectivity,DAS,Multi-operator indoor DAS,continuing,"distributed antennas and radio units connected to a common source","stadiums; airports; hospitals; shopping centres; offices; tunnels",MNOs; venue owners; public transport operators,"FY2025 approximately 15509 DAS and small-cell antenna nodes; definition differs from website headline","as-a-service or long-term neutral-host agreement; venue-specific","unit pricing and margin not disclosed",official product page and annual report,https://www.cellnex.com/technology/das-small-cells/
2026-08-04,"DAS, Small Cells and RAN as a Service",Dense-area connectivity,DAS,Outdoor DAS,continuing,"distributed multi-operator antenna network","historic centres; dense streets; campuses",MNOs; municipalities; property owners,"not disclosed","project and managed-service contract","not disclosed",official product page; commercial scale not disclosed,https://www.cellnex.com/technology/das-small-cells/
2026-08-04,"DAS, Small Cells and RAN as a Service",Dense-area connectivity,Small cells,Outdoor and indoor small cells,continuing,"low-power radio nodes integrated into street furniture or venues","coverage gaps and high-capacity hotspots",MNOs; municipalities; venue owners,"H1 2026 business-line organic growth 4.5%; indoor connectivity cited as main driver","neutral-host service or project contract","unit pricing and margins not disclosed",official results and product page,https://www.cellnex.com/app/uploads/2026/07/Cellnex-Results-Q2-2026.pdf
2026-08-04,"DAS, Small Cells and RAN as a Service",Active network services,RAN as a Service,selective growth,"active emission and transmission services layered on passive towers","operator radio access in Poland",MNOs,"company plans to consolidate Poland before considering expansion","managed active-network service","pricing and return profile not disclosed",official annual report,https://www.cellnex.com/app/uploads/2026/03/Informe-Anual-Integrado-2025_EN_Optimized.pdf
2026-08-04,"DAS, Small Cells and RAN as a Service",Mission critical and PPDR,Private critical networks,continuing,"TETRA LTE and 5G private radio networks with engineering operations and maintenance","public safety; emergency response; transport; maritime rescue",public administrations; transport operators; critical-infrastructure operators,"Spain: 19 mission-critical communications references; more than 1300 base stations and 98000 users stated on website","long-term project and managed-service contracts with SLAs","contract values and margins usually not disclosed",official solution page; company-reported scale,https://www.cellnex.com/solutions/mission-critical/
2026-08-04,"DAS, Small Cells and RAN as a Service",Operations,Third-party O&M,continuing with perimeter changes,"operation and maintenance of customer equipment and infrastructure","outsourced network operations",MNOs; public bodies; infrastructure owners,"Spanish O&M activity shown as discontinued in H1 2026 pro-forma bridge","managed-service contract","pricing and margin not disclosed",official results; perimeter change disclosed,https://www.cellnex.com/app/uploads/2026/07/Cellnex-Results-Q2-2026.pdf
2026-08-04,"DAS, Small Cells and RAN as a Service",IoT and smart services,LPWA connectivity,adjacent service,"Sigfox and LoRaWAN infrastructure for low-power long-range devices","water; parking; waste; asset tracking; smart buildings",public administrations; enterprises; utilities,"website reports networks and device counts by country; current perimeter not independently verified","connectivity and managed-service contract","device and network tariffs not disclosed",official product page; company-reported deployment,https://www.cellnex.com/technology/smart-iot/
2026-08-04,"DAS, Small Cells and RAN as a Service",IoT and smart services,SmartBrain and SmartSolutions,adjacent service,"sensor integration analytics platform and application layer","real-time monitoring and operational optimisation",public administrations; property managers; enterprises,"not disclosed","end-to-end project and managed service","software pricing and recurring revenue not disclosed",official product page; commercial scale not disclosed,https://www.cellnex.com/technology/smart-iot/
2026-08-04,"Fiber, Connectivity and Housing Services",Fiber,FTTT,continuing growth,"fiber-to-the-tower links connecting macro sites","mobile backhaul and capacity expansion",MNOs,"company overview reports more than 48000 km of FTTT for XOC plus France; perimeter requires confirmation","long-term fiber capacity or service agreement","price per route or strand not disclosed",official company page; company-reported footprint,https://www.cellnex.com/about-cellnex/what-we-do/
2026-08-04,"Fiber, Connectivity and Housing Services",Fiber,Backhaul and fiber transmission,continuing growth,"fiber radio-link or satellite connections between network nodes","backhaul; backbone; enterprise connectivity",MNOs; fixed operators; public administrations; enterprises,"H1 2026 organic growth 7.8% supported by Nexloop rollout","leased line capacity or managed connectivity agreement","tariffs and margins not disclosed",official results and annual report,https://www.cellnex.com/app/uploads/2026/07/Cellnex-Results-Q2-2026.pdf
2026-08-04,"Fiber, Connectivity and Housing Services",Fiber,Enterprise leased lines,continuing,"dedicated connectivity to customer premises","enterprise and rural high-speed connectivity",SMEs; enterprises; public administrations; telecom operators,"not disclosed","term capacity or leased-line service","tariffs not disclosed",official annual report,https://www.cellnex.com/app/uploads/2026/03/Informe-Anual-Integrado-2025_EN_Optimized.pdf
2026-08-04,"Fiber, Connectivity and Housing Services",Housing,Edge data centres,portfolio-managed,"shared rack space energy connectivity cooling security and controls","edge computing; distributed data processing; telecom hosting",telecom operators; enterprises; public bodies,"website lists 24 Netherlands locations more than 100 France locations and 4 Spain locations; French data-centre disposal affects perimeter","configuration-specific SLA by Tier 1-4 and managed elements","rack power and connectivity prices not disclosed",official product page; current perimeter requires verification,https://www.cellnex.com/technology/edge-datacentres/
2026-08-04,Broadcast,Broadcast infrastructure,Television distribution,continuing,"nationwide and regional terrestrial television transmission network","DTT signal distribution",television broadcasters; public authorities,"FY2025 Broadcast operating income EUR264m including TV radio and related services","long-term broadcast network service contract","tariffs and contract margins not disclosed",official annual report,https://www.cellnex.com/app/uploads/2026/03/Informe-Anual-Integrado-2025_EN_Optimized.pdf
2026-08-04,Broadcast,Broadcast infrastructure,Radio distribution,continuing,"radio transmission sites and network operations","national and regional radio broadcasting",radio broadcasters; public authorities,"provided in Spain and Netherlands according to FY2025 report","long-term broadcast service contract","tariffs and contract margins not disclosed",official annual report,https://www.cellnex.com/app/uploads/2026/03/Informe-Anual-Integrado-2025_EN_Optimized.pdf
2026-08-04,Broadcast,Broadcast services,Network O&M and media connectivity,continuing,"broadcast network operation maintenance monitoring and media links","broadcast availability and content transport",broadcasters; media companies,"24x7 NOC described on product page","managed-service or network-service agreement","pricing and SLA penalties not disclosed",official product page,https://www.cellnex.com/technology/broadcast/
2026-08-04,Broadcast,Broadcast services,OTT and hybrid television services,adjacent service,"connectivity and platform support for internet-enhanced television","interactive television and OTT distribution",broadcasters; media platforms,"not disclosed","project and service agreement","commercial scale and pricing not disclosed",official annual report and product page,https://www.cellnex.com/technology/broadcast/
