business,offering,description,monetization,geography,source,as_of,evidence_class
Shopee,Marketplace,Third-party buyer-seller marketplace,Transaction-based fees; advertising; value-added services,"Southeast Asia, Taiwan, Brazil and other disclosed markets",20-F Item 4 and revenue recognition notes,2026-08-12,official fact
Shopee,Advertising,Seller advertising and visibility products,Advertising fees,Shopee markets,20-F Item 4,2026-08-12,official fact
Shopee,Logistics and fulfillment,"Integrated logistics, fulfillment and related value-added services",Service fees; some costs may be subsidized,Shopee markets,20-F Item 4,2026-08-12,official fact
Shopee,Direct sales,Goods sold directly by Sea entities,Gross product sales,Selected markets,20-F revenue recognition notes,2026-08-12,official fact
Shopee,Affiliate and live commerce,"Creator, affiliate and livestream discovery channels",Marketplace monetization and advertising support,Selected Shopee markets,20-F Item 4,2026-08-12,official fact
Monee,Wallet and payments,Mobile wallet and payment processing,Transaction and service fees,Southeast Asia and selected markets,20-F Item 4,2026-08-12,official fact
Monee,Consumer credit,On- and off-platform consumer lending,Interest and fees,Selected licensed markets,20-F Item 4 and Note 6,2026-08-12,official fact
Monee,SME credit,Working-capital and other loans to sellers and SMEs,Interest and fees,Selected licensed markets,20-F Item 4 and Note 6,2026-08-12,official fact
Monee,Banking,Deposit-taking and digital banking through licensed entities,Net interest and banking fees,Selected markets,20-F Item 4,2026-08-12,official fact
Monee,Insurance and wealth,Insurance distribution/underwriting and wealth services,"Fees, commissions and premiums",Selected markets,20-F Item 4,2026-08-12,official fact
Garena,Publishing,"Localize, distribute and operate third-party games",In-game virtual item sales; licensing economics,"Southeast Asia, Taiwan, Latin America and other markets",20-F Item 4,2026-08-12,official fact
Garena,Free Fire,Self-developed global mobile battle royale franchise,In-game virtual item sales,Global,20-F Item 4,2026-08-12,official fact
Garena,Esports,Professional leagues and tournaments,Primarily engagement; standalone revenue not disclosed,"Southeast Asia, Taiwan, Latin America and global events",20-F Item 4,2026-08-12,official fact
Garena,Community and platform,"Game discovery, community, operations and payment channels",Supports bookings and retention; standalone revenue not disclosed,Garena markets,20-F Item 4,2026-08-12,official fact
