as_of,reporting_segment,business_unit,product_line,product,status,principle_or_form,use_cases,customer_types,key_metrics,pricing_cost_disclosure,source_url
2026-07-25,Network Infrastructure,Fixed Networks,Fiber access OLT,Lightspan MF,continuing,"chassis OLT; terminates shared PON and aggregates traffic",large central offices,"telecom providers",high-capacity modular platform,"not disclosed; RFQ",https://www.nokia.com/broadband-access/gigabit-fiber/lightspan-mf-fiber-olt/
2026-07-25,Network Infrastructure,Fixed Networks,Fiber access OLT,Lightspan FX-4/8/16,continuing,"4/8/16-slot OLT chassis",residential enterprise and mobile transport,"telecom providers","2x100 Gb/s backplane per slot","not disclosed; RFQ",https://www.nokia.com/broadband-access/gigabit-fiber/lightspan-fx-fiber-olt/
2026-07-25,Network Infrastructure,Fixed Networks,Fiber access OLT,Lightspan DF-16GM/32GM,continuing,"1RU fixed OLT",distributed and space-constrained access,"telecom providers","GPON/XGS-PON/25G PON; >20% lower power claim","not disclosed; RFQ",https://www.nokia.com/broadband-access/gigabit-fiber/lightspan-df-fiber-olt/
2026-07-25,Network Infrastructure,Fixed Networks,Fiber access OLT,Lightspan SF-8M,continuing,"sealed outdoor OLT",rural and remote access,"telecom providers",outdoor sealed form,"not disclosed; RFQ",https://www.nokia.com/broadband-access/gigabit-fiber/lightspan-sf-8m-sealed-fiber-olt/
2026-07-25,Network Infrastructure,Fixed Networks,PON technology,25G PON,continuing,"additional wavelength on existing ODN",enterprise xHaul and premium broadband,"telecom providers",coexists with GPON/XGS-PON,"not disclosed",https://www.nokia.com/broadband-access/gigabit-fiber/25gpon/
2026-07-25,Network Infrastructure,Fixed Networks,PON technology,50G PON,continuing,"higher-rate PON over passive splitters",enterprise data center and future access,"telecom providers","50 Gb/s down; 25/50 Gb/s up","not disclosed",https://www.nokia.com/broadband-access/gigabit-fiber/50gpon/
2026-07-25,Network Infrastructure,Fixed Networks,Fiber ONT,Fiber ONT family,continuing,"terminates PON at customer premise",home and small business,"telecom providers; end users",multiple Ethernet/Wi-Fi variants,"not disclosed; operator supplied",https://www.nokia.com/broadband-access/in-home-connectivity/fiber-ont/
2026-07-25,Network Infrastructure,Fixed Networks,Fiber ONT,25G ONT,continuing,"25G PON endpoint",enterprise and mobile transport,"telecom providers; enterprises",25G-class access,"not disclosed",https://www.nokia.com/broadband-access/in-home-connectivity/fiber-ont/25g-ont/
2026-07-25,Network Infrastructure,Fixed Networks,Access automation,Altiplano Access Controller,continuing,"cloud-native SDN controller with intent and workflow automation",provisioning assurance and multivendor access,"telecom providers","25%-40% daily operations savings and 4x validation claims","license/subscription not disclosed",https://www.nokia.com/broadband-access/network-automation/altiplano-access-controller/
2026-07-25,Network Infrastructure,Fixed Networks,Access automation,Altiplano Marketplace,continuing,"application distribution for Altiplano",extend access automation,"telecom providers; developers",Nokia and third-party apps,"not disclosed",https://www.nokia.com/broadband-access/network-automation/altiplano-marketplace/
2026-07-25,Network Infrastructure,Fixed Networks,Home connectivity,Corteca,continuing,"cloud control and managed Wi-Fi platform",managed home Wi-Fi and value-added services,"telecom providers",controller plus applications,"not disclosed",https://www.nokia.com/broadband-access/in-home-connectivity/corteca/
