period,segment,revenue_usd_m,operating_segment_profit_usd_m,margin_pct,source
2021,Shopee,5122.959,-2766.566,-54.0,FY2023 20-F F-74 to F-76
2021,Monee,469.774,-640.422,-136.33,FY2023 20-F F-74 to F-76
2021,Garena,4320.013,2500.081,57.87,FY2023 20-F F-74 to F-76
2021,Other,42.444,-177.633,-418.51,FY2023 20-F F-74 to F-76
2022,Shopee,7288.677,-2013.36,-27.62,FY2023 20-F F-74 to F-76
2022,Monee,1221.996,-277.264,-22.69,FY2023 20-F F-74 to F-76
2022,Garena,3877.163,1971.416,50.85,FY2023 20-F F-74 to F-76
2022,Other,61.869,-252.162,-407.57,FY2023 20-F F-74 to F-76
2023,Shopee,9000.848,-550.47,-6.12,FY2025 20-F F-74 to F-75
2023,Monee,1759.422,490.209,27.86,FY2025 20-F F-74 to F-75
2023,Garena,2172.009,1177.871,54.23,FY2025 20-F F-74 to F-75
2023,Other,131.281,-56.728,-43.21,FY2025 20-F F-74 to F-75
2024,Shopee,12415.231,-139.431,-1.12,FY2025 20-F F-74 to F-75
2024,Monee,2367.739,657.502,27.77,FY2025 20-F F-74 to F-75
2024,Garena,1910.589,978.821,51.23,FY2025 20-F F-74 to F-75
2024,Other,126.307,-43.903,-34.76,FY2025 20-F F-74 to F-75
2025,Shopee,16564.605,581.052,3.51,FY2025 20-F F-74 to F-75
2025,Monee,3791.641,972.682,25.65,FY2025 20-F F-74 to F-75
2025,Garena,2408.765,1184.071,49.16,FY2025 20-F F-74 to F-75
2025,Other,173.458,-90.537,-52.2,FY2025 20-F F-74 to F-75
