canonical_key,statement,source_rows,transformation,economic_scope,source,status,confidence,comparability_note
revenue,income_statement,Sales of goods + Sales of services,sum of reported rows,Consolidated revenue,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2023/psp_325531e732e447ebad6e1a29938bc4cd/prepared/document.md pp.52-54; FY2024 .../prepared/document.md p.55; FY2025 .../prepared/document.md p.55,reported,high,Latest audited comparative presentation used
cost_of_revenue,income_statement,Cost of goods sold + Cost of services sold,sum of reported rows,Direct product and service delivery costs,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2023/.../prepared/document.md p.52; FY2024 .../prepared/document.md p.55; FY2025 .../prepared/document.md p.55,calculated,medium,2025 filing reclassified expense presentation; not an issuer subtotal
gross_profit,income_statement,Total revenue - cost_of_revenue,subtraction,Revenue after direct costs,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2023/.../prepared/document.md p.52; FY2024 .../prepared/document.md p.55; FY2025 .../prepared/document.md p.55,calculated,medium,Gross profit is analyst-derived
operating_profit,income_statement,Operating income (loss),none for FY2021-FY2024; derived from expense rows for FY2025,Statutory operating profit before non-operating income and interest,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2023/.../prepared/document.md p.52; FY2024 .../prepared/document.md p.55; FY2025 .../prepared/document.md p.55,reported_or_calculated,medium,FY2025 10-K omits operating income subtotal; FY2025 value is analyst-derived
depreciation_amortization,cash_flow,Depreciation and amortization,none,Consolidated D&A expense add-back,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2023/.../prepared/document.md p.56; FY2024 .../prepared/document.md p.59; FY2025 .../prepared/document.md p.59,reported,high,Comparable cash-flow adjustment
net_interest_expense,income_statement,Interest expense net,sign normalization for FY2021-FY2024,Net financing interest expense,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2023/.../prepared/document.md p.52; FY2024 .../prepared/document.md p.55; FY2025 .../prepared/document.md p.55,reported,high,Parentheses in older filings normalized to positive expense
income_tax_expense,income_statement,Provision for income taxes,absolute magnitude/sign normalization,Consolidated tax expense or benefit,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2023/.../prepared/document.md p.52; FY2024 .../prepared/document.md p.55; FY2025 .../prepared/document.md p.55,reported,high,Raw statement preserves negative expense sign
net_income_consolidated,income_statement,Net income (loss),none,Profit attributable to all equity holders,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2023/.../prepared/document.md p.52; FY2024 .../prepared/document.md p.55; FY2025 .../prepared/document.md p.55,reported,high,Consolidated scope
net_income_parent,income_statement,Net income (loss) attributable to Baker Hughes Company,none,Profit attributable to parent shareholders,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2023/.../prepared/document.md p.52; FY2024 .../prepared/document.md p.55; FY2025 .../prepared/document.md p.55,reported,high,Ownership-consistent with parent equity
net_income_nci,income_statement,Less: Net income attributable to noncontrolling interests,none,NCI share of consolidated profit,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2023/.../prepared/document.md p.52; FY2024 .../prepared/document.md p.55; FY2025 .../prepared/document.md p.55,reported,high,Parent + NCI reconciles to consolidated income
cash_and_equivalents,balance_sheet,Cash and cash equivalents,none,Period-end unrestricted cash,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2022/.../prepared/document.md p.54; FY2023 .../prepared/document.md p.54; FY2024 .../prepared/document.md p.57; FY2025 .../prepared/document.md p.57,reported,high,Instant balance-sheet value
trade_receivables,balance_sheet,Current receivables net,none,Net trade/current receivables,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2022/.../prepared/document.md p.54; FY2023 .../prepared/document.md p.54; FY2024 .../prepared/document.md p.57; FY2025 .../prepared/document.md p.57,reported,high,Latest comparative presentation
inventory,balance_sheet,Inventories net,none,Net inventory,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2022/.../prepared/document.md p.54; FY2023 .../prepared/document.md p.54; FY2024 .../prepared/document.md p.57; FY2025 .../prepared/document.md p.57,reported,high,Latest comparative presentation
current_assets,balance_sheet,Total current assets,none,Current asset pool,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2022/.../prepared/document.md p.54; FY2023 .../prepared/document.md p.54; FY2024 .../prepared/document.md p.57; FY2025 .../prepared/document.md p.57,reported,high,Latest comparative presentation
ppe,balance_sheet,Property plant and equipment less accumulated depreciation,none,Net operating property plant and equipment,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2022/.../prepared/document.md p.54; FY2023 .../prepared/document.md p.54; FY2024 .../prepared/document.md p.57; FY2025 .../prepared/document.md p.57,reported,high,Net carrying value
goodwill,balance_sheet,Goodwill,none,Acquired goodwill,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2022/.../prepared/document.md p.54; FY2023 .../prepared/document.md p.54; FY2024 .../prepared/document.md p.57; FY2025 .../prepared/document.md p.57,reported,high,Net carrying value
intangible_assets,balance_sheet,Other intangible assets net,none,Finite-lived and other intangible assets,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2022/.../prepared/document.md p.54; FY2023 .../prepared/document.md p.54; FY2024 .../prepared/document.md p.57; FY2025 .../prepared/document.md p.57,reported,high,Net carrying value
contract_assets,balance_sheet,Contract and other deferred assets,none,Contract assets and other deferred assets,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2022/.../prepared/document.md p.54; FY2023 .../prepared/document.md p.54; FY2024 .../prepared/document.md p.57; FY2025 .../prepared/document.md p.57,reported,medium,Caption includes other deferred assets beyond contract assets
total_assets,balance_sheet,Total assets,none,Consolidated assets,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2022/.../prepared/document.md p.54; FY2023 .../prepared/document.md p.54; FY2024 .../prepared/document.md p.57; FY2025 .../prepared/document.md p.57,reported,high,Assets reconcile to liabilities and equity
short_term_debt,balance_sheet,Short-term and current portion of long-term debt,none,Current debt excluding leases,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2022/.../prepared/document.md p.54; FY2023 .../prepared/document.md p.54; FY2024 .../prepared/document.md p.57; FY2025 .../prepared/document.md p.57,reported,high,Lease liabilities not included in caption
long_term_debt,balance_sheet,Long-term debt,none,Non-current debt excluding leases,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2022/.../prepared/document.md p.54; FY2023 .../prepared/document.md p.54; FY2024 .../prepared/document.md p.57; FY2025 .../prepared/document.md p.57,reported,high,Lease liabilities not included in caption
trade_payables,balance_sheet,Accounts payable,none,Trade payables,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2022/.../prepared/document.md p.54; FY2023 .../prepared/document.md p.54; FY2024 .../prepared/document.md p.57; FY2025 .../prepared/document.md p.57,reported,high,Current trade payables
current_liabilities,balance_sheet,Total current liabilities,none,Current liabilities,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2022/.../prepared/document.md p.54; FY2023 .../prepared/document.md p.54; FY2024 .../prepared/document.md p.57; FY2025 .../prepared/document.md p.57,reported,high,Current liabilities
total_liabilities,balance_sheet,Total assets - total equity,subtraction,Consolidated liabilities,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2022/.../prepared/document.md p.54; FY2023 .../prepared/document.md p.54; FY2024 .../prepared/document.md p.57; FY2025 .../prepared/document.md p.57,calculated,high,No total liabilities subtotal printed
parent_equity,balance_sheet,Baker Hughes Company equity,none,Parent-attributable equity,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2022/.../prepared/document.md p.54; FY2023 .../prepared/document.md p.54; FY2024 .../prepared/document.md p.57; FY2025 .../prepared/document.md p.57,reported,high,Use with parent net income for ROE
nci,balance_sheet,Noncontrolling interests,none,NCI equity,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2022/.../prepared/document.md p.54; FY2023 .../prepared/document.md p.54; FY2024 .../prepared/document.md p.57; FY2025 .../prepared/document.md p.57,reported,high,Use with consolidated income for total-equity returns
total_equity,balance_sheet,Total equity,none,Consolidated equity,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2022/.../prepared/document.md p.54; FY2023 .../prepared/document.md p.54; FY2024 .../prepared/document.md p.57; FY2025 .../prepared/document.md p.57,reported,high,Parent equity + NCI
cfo,cash_flow,Net cash flows provided by operating activities,none,Operating cash flow,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2023/.../prepared/document.md p.56; FY2024 .../prepared/document.md p.59; FY2025 .../prepared/document.md p.59,reported,high,Consolidated cash flow
cfi,cash_flow,Net cash flows used in investing activities,none,Investing cash flow,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2023/.../prepared/document.md p.56; FY2024 .../prepared/document.md p.59; FY2025 .../prepared/document.md p.59,reported,high,Negative means net use
cff,cash_flow,Net cash flows used in financing activities,none,Financing cash flow,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2023/.../prepared/document.md p.56; FY2024 .../prepared/document.md p.59; FY2025 .../prepared/document.md p.59,reported,high,Negative means net use
capex_total,cash_flow,Expenditures for capital assets,absolute magnitude,Capital expenditure cash outflow,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2023/.../prepared/document.md p.56; FY2024 .../prepared/document.md p.59; FY2025 .../prepared/document.md p.59,reported,high,Calculator uses positive magnitude
cash_begin,cash_flow,Cash and cash equivalents beginning of period,none,Cash-flow statement opening cash,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2023/.../prepared/document.md p.56; FY2024 .../prepared/document.md p.59; FY2025 .../prepared/document.md p.59,reported,high,May differ from balance-sheet cash only if scope/reclassification exists
cash_end,cash_flow,Cash and cash equivalents end of period,none,Cash-flow statement ending cash,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2023/.../prepared/document.md p.56; FY2024 .../prepared/document.md p.59; FY2025 .../prepared/document.md p.59,reported,high,Reconciles with cash_begin and flows
fx_cash_effect,cash_flow,Effect of currency exchange rate changes on cash and cash equivalents,none,FX effect on cash,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2023/.../prepared/document.md p.56; FY2024 .../prepared/document.md p.59; FY2025 .../prepared/document.md p.59,reported,high,Cash reconciliation sign preserved
interest_paid,cash_flow,Interest paid,supplemental disclosure,Interest paid in cash,../database/bakerhughes/artifacts/ten_k/Baker-Hughes/FY2024/.../prepared/document.md p.59; FY2025 .../prepared/document.md p.59,reported,high,Not disclosed in FY2021 standalone table; no zero imputation
