period,region,revenue_usd_m,source,page,comparability_note
2021,Southeast Asia including Singapore,6316.782,Sea-FY2023-Form-20-F.pdf,"Note 21, Segment Reporting",2021-2022 include Singapore in Southeast Asia; 2023-2025 split Singapore separately
2021,Latin America,1850.861,Sea-FY2023-Form-20-F.pdf,"Note 21, Segment Reporting",2021-2022 include Singapore in Southeast Asia; 2023-2025 split Singapore separately
2021,Rest of Asia,1394.342,Sea-FY2023-Form-20-F.pdf,"Note 21, Segment Reporting",2021-2022 include Singapore in Southeast Asia; 2023-2025 split Singapore separately
2021,Rest of world,393.205,Sea-FY2023-Form-20-F.pdf,"Note 21, Segment Reporting",2021-2022 include Singapore in Southeast Asia; 2023-2025 split Singapore separately
2022,Southeast Asia including Singapore,8321.249,Sea-FY2023-Form-20-F.pdf,"Note 21, Segment Reporting",2021-2022 include Singapore in Southeast Asia; 2023-2025 split Singapore separately
2022,Latin America,2043.918,Sea-FY2023-Form-20-F.pdf,"Note 21, Segment Reporting",2021-2022 include Singapore in Southeast Asia; 2023-2025 split Singapore separately
2022,Rest of Asia,1727.187,Sea-FY2023-Form-20-F.pdf,"Note 21, Segment Reporting",2021-2022 include Singapore in Southeast Asia; 2023-2025 split Singapore separately
2022,Rest of world,357.351,Sea-FY2023-Form-20-F.pdf,"Note 21, Segment Reporting",2021-2022 include Singapore in Southeast Asia; 2023-2025 split Singapore separately
2023,Singapore,506.482,Sea-FY2025-Form-20-F.pdf,"Note 21, Segment Reporting",2021-2022 include Singapore in Southeast Asia; 2023-2025 split Singapore separately
2023,Southeast Asia excluding Singapore,8673.045,Sea-FY2025-Form-20-F.pdf,"Note 21, Segment Reporting",2021-2022 include Singapore in Southeast Asia; 2023-2025 split Singapore separately
2023,Latin America,2193.758,Sea-FY2025-Form-20-F.pdf,"Note 21, Segment Reporting",2021-2022 include Singapore in Southeast Asia; 2023-2025 split Singapore separately
2023,Rest of Asia,1496.433,Sea-FY2025-Form-20-F.pdf,"Note 21, Segment Reporting",2021-2022 include Singapore in Southeast Asia; 2023-2025 split Singapore separately
2023,Rest of world,193.842,Sea-FY2025-Form-20-F.pdf,"Note 21, Segment Reporting",2021-2022 include Singapore in Southeast Asia; 2023-2025 split Singapore separately
2024,Singapore,659.107,Sea-FY2025-Form-20-F.pdf,"Note 21, Segment Reporting",2021-2022 include Singapore in Southeast Asia; 2023-2025 split Singapore separately
2024,Southeast Asia excluding Singapore,11114.896,Sea-FY2025-Form-20-F.pdf,"Note 21, Segment Reporting",2021-2022 include Singapore in Southeast Asia; 2023-2025 split Singapore separately
2024,Latin America,3276.281,Sea-FY2025-Form-20-F.pdf,"Note 21, Segment Reporting",2021-2022 include Singapore in Southeast Asia; 2023-2025 split Singapore separately
2024,Rest of Asia,1591.487,Sea-FY2025-Form-20-F.pdf,"Note 21, Segment Reporting",2021-2022 include Singapore in Southeast Asia; 2023-2025 split Singapore separately
2024,Rest of world,178.095,Sea-FY2025-Form-20-F.pdf,"Note 21, Segment Reporting",2021-2022 include Singapore in Southeast Asia; 2023-2025 split Singapore separately
2025,Singapore,792.705,Sea-FY2025-Form-20-F.pdf,"Note 21, Segment Reporting",2021-2022 include Singapore in Southeast Asia; 2023-2025 split Singapore separately
2025,Southeast Asia excluding Singapore,14379.011,Sea-FY2025-Form-20-F.pdf,"Note 21, Segment Reporting",2021-2022 include Singapore in Southeast Asia; 2023-2025 split Singapore separately
2025,Latin America,5532.738,Sea-FY2025-Form-20-F.pdf,"Note 21, Segment Reporting",2021-2022 include Singapore in Southeast Asia; 2023-2025 split Singapore separately
2025,Rest of Asia,2005.721,Sea-FY2025-Form-20-F.pdf,"Note 21, Segment Reporting",2021-2022 include Singapore in Southeast Asia; 2023-2025 split Singapore separately
2025,Rest of world,228.294,Sea-FY2025-Form-20-F.pdf,"Note 21, Segment Reporting",2021-2022 include Singapore in Southeast Asia; 2023-2025 split Singapore separately
