as_of,metric,unit,FY2022,FY2023,FY2024,FY2025,FY2026,source,note
2026-08-13,revenue,JPY billion,573.0,643.9,601.9,686.5,734.7,official FY2026 results presentation p.2,IFRS consolidated
2026-08-13,recurring_operating_profit,JPY billion,127.0,127.0,151.0,167.1,186.3,official FY2026 results presentation p.2,issuer APM; not an IFRS line item
2026-08-13,operating_profit,JPY billion,83.5,86.6,94.5,105.0,116.6,official FY2026 results presentation p.2,IFRS consolidated rounded
2026-08-13,profit_before_tax,JPY billion,108.5,118.4,168.0,150.7,199.0,official FY2026 results presentation p.2,IFRS consolidated rounded
2026-08-13,net_income_parent,JPY billion,87.5,91.3,122.2,117.5,151.0,official FY2026 results presentation p.2,attributable to owners of parent rounded
2026-08-13,total_assets,JPY billion,1451.3,1691.9,2078.9,2371.0,2853.8,official FY2026 results presentation p.3,rounded management summary
2026-08-13,parent_equity,JPY billion,468.6,571.0,790.4,914.7,1185.6,official FY2026 results presentation p.3,attributable to owners of parent rounded
2026-08-13,interest_bearing_debt,JPY billion,612.6,721.7,822.4,934.3,1088.4,official FY2026 results presentation p.3,issuer summary
2026-08-13,dividend_and_interest_income,JPY billion,11.1,18.0,30.5,39.8,48.2,official FY2026 results presentation p.9,management bridge to pretax profit
2026-08-13,equity_method_profit,JPY billion,6.3,9.4,13.0,17.7,23.5,official FY2026 results presentation p.9,management definition excludes selected one-time items
2026-08-13,investment_holdings_cost,JPY billion,456.0,532.6,590.2,725.4,852.3,official FY2026 results presentation p.12,management basis including equity-method affiliates
2026-08-13,investment_holdings_market_value,JPY billion,618.0,759.2,1001.3,1170.0,1476.4,official FY2026 results presentation p.12,management basis
2026-08-13,investment_look_through_earnings,JPY billion,70.8,80.3,83.2,114.8,139.9,official FY2026 results presentation p.12,company-calculated LTM operating profit times ownership
